title,link,published,description,category,source,source sub-category,id
"Saskatoon morning news rewind: Monday, Feb. 27",https://globalnews.ca/news/9513826/saskatoon-housing-real-estate-circle-drive-north-bridge-black-history-month-saskatchewan/,"Mon, 27 Feb 2023 15:04:49 +0000","Here's a look back on who was on 'Global News Morning Saskatoon' for Monday, Feb. 27.",Blogs,Global News,Global News World,https://globalnews.ca/?p=9513826
Developer confirms ‘secondary damage’ to Welland condo construction site following initial collapse,https://globalnews.ca/news/9513652/secondary-damage-welland-condo-construction/,"Mon, 27 Feb 2023 15:03:40 +0000","For the second time in February, the developer of a luxury condominium in Niagara Region reported structural damage in a south tower of the five storey project.",Canada,Global News,Global News World,https://globalnews.ca/?p=9513652
Twitter reportedly cuts 10% of workforce in latest round of cuts since Musk takeover,https://globalnews.ca/news/9513803/twitter-job-cuts-elon-musk-reports/,"Mon, 27 Feb 2023 14:58:36 +0000","Twitter has laid off at least 200 employees, or about 10 per cent of its current workforce, the New York Times reported late on Sunday.",Economy,Global News,Global News World,https://globalnews.ca/?p=9513803
"Feds’ 2023 budget should hike international aid group funding, agencies tell Freeland",https://globalnews.ca/news/9513810/canada-2023-budget-international-aid-group-funding/,"Mon, 27 Feb 2023 14:57:39 +0000","As of late 2021, Prime Minister Justin Trudeau was still urging government ministers to increase Canada's international development assistance every year.",Canada,Global News,Global News World,https://globalnews.ca/?p=9513810
"2023 SAG Awards winners: Brendan Fraser, Ke Huy Quan earn more hardware",https://globalnews.ca/news/9513639/2023-sag-awards-winners-brendan-fraser-ke-huy-quan/,"Mon, 27 Feb 2023 14:53:42 +0000","The SAG Awards, often an Oscar preview, threw some curve balls into the Oscars race.",Entertainment,Global News,Global News World,https://globalnews.ca/?p=9513639
Click named Blue Jays VP of baseball strategy,https://globalnews.ca/news/9513807/click-named-blue-jays-vp-of-baseball-strategy/,"Mon, 27 Feb 2023 14:38:57 +0000",James Click was named the vice-president of baseball strategy for the Toronto Blue Jays on Monday.,Sports,Global News,Global News World,https://globalnews.ca/news/9513807/click-named-blue-jays-vp-of-baseball-strategy/
Lethbridge police investigate assault at International Peace Pow-wow,https://globalnews.ca/news/9513601/lethbridge-international-peace-pow-wow-assault/,"Mon, 27 Feb 2023 14:29:43 +0000",Lethbridge police are investigating after an alleged assault took place at the Enmax Centre on the final day of the International Peace Pow-wow.,Crime,Global News,Global News World,https://globalnews.ca/?p=9513601
Prince Edward County OPP stop two ‘grandparent scammers’,https://globalnews.ca/news/9513724/prince-edward-county-opp-stop-two-grandparent-scammers/,"Mon, 27 Feb 2023 14:28:02 +0000",An alleged 'grandparent scam' has been put to a stop by Prince Edward County OPP.,Canada,Global News,Global News World,https://globalnews.ca/?p=9513724
Man critically injured in Toronto police-involved shooting,https://globalnews.ca/news/9513723/toronto-police-involved-shooting-black-creek-drive/,"Mon, 27 Feb 2023 14:25:57 +0000",Toronto police say an officer shot and critically injured a man shortly after it was reported a person had a knife in a park and was allegedly threatening people.,Crime,Global News,Global News World,https://globalnews.ca/?p=9513723
ANALYSIS: Slumping Jets need to find a solution,https://globalnews.ca/news/9513621/winnipeg-jets-slump-feburary-2023/,"Mon, 27 Feb 2023 14:23:39 +0000",The Winnipeg Jets suddenly look like a gang that can't shoot straight. They need to find the solution — not any new teammates.  ,Sports,Global News,Global News World,https://globalnews.ca/?p=9513621
